DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	air_t_mean	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	air_p_mean	rssi_77_mean	LOGGERTEMP_1_1_1	RH_1_1_1	LWIN_1_1_1	LWOUT_1_1_1	PPFD_1_1_1	RN_1_1_1	SNOWD_1_1_1	SWC_1_1_1	SWC_2_1_1	SWIN_1_1_1	SWOUT_1_1_1	TA_1_1_1	TS_1_1_1	TS_10_1_1	TS_11_1_1	TS_12_1_1	TS_2_1_1	TS_3_1_1	TS_4_1_1	TS_5_1_1	TS_6_1_1	TS_7_1_1	TS_8_1_1	TS_9_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[åµmol+1s-1m-2]	[#]	[åµmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[åµmol+1s-1m-2]	[#]	[åµmol+1s-1m-2]	[åµmol+1s-1m-2]	[#]	[åµmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[åµmol+1s-1m-2]	[mmol+1s-1m-2]	[åµmol+1s-1m-2]	[åµmol+1s-1m-2]	[åµmol+1s-1m-2]	[mmol+1s-1m-2]	[åµmol+1s-1m-2]	[åµmol+1s-1m-2]	[mmol+1m-3]	[åµmol+1mol_a-1]	[åµmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[åµmol+1mol_a-1]	[åµmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[åµmol+1mol_a-1]	[åµmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[å¡]	[å¡]	[å¡]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[åµmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[åµmol+1s-1m-2]	[#]	[åµmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	--	--	--	[C]	[%]	[W/m^2]	[W/m^2]	[åµmol/m^2/s]	[W/m^2]	[m]	[m^3/m^3]	[m^3/m^3]	[W/m^2]	[W/m^2]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	32
DATA	2016-03-23T163000_AIU-0383.ghg	2016-03-23	17:00:00	83.708	1	17999	17999	0.004882902	2	NaN	-7.78494	1	NaN	3.757506621	1	NaN	0.429859409	1	NaN	0.083781016	1	NaN	0.001137609	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.68E-11	4.73E-14	1.89E-13	NaN	17.05804585	426.7246268	429.5106979	-0.2	0	21.94934471	0.549085517	0.549387178	-0.2	0	0.087918017	1.977140176	1.990048859	-0.2	0	NaN	NaN	NaN	NaN	9	272.3431399	277.9099	92362.48484	1.157601255	1005.52325	0.025016032	0.00542901	0.000395527	50.72850651	855.4554218	0.000341678	5.93	804.7269153	243.1619094	-0.063663159	-2.612241059	0.045003888	2.613404235	2.60E-14	2.15E-15	2.613404235	4.641875445	91.39608418	268.6039158	0.986705478	NaN	0.064947064	0.861471814	2.895301573	1.191585717	-2.071836669	-0.102978045	1	279.5308366	124	282	642	1345	3437	NaN	0.004753883	1.027139695	-7.226616289	1.054660847	2.781891158	1.358476453	0.592293443	1.358476453	0.062027746	1.358476453	0.002312806	1.621704152	NaN	NaN	800000009	800000009	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	9	3	0	7	17	4	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	20	17999	17999	17999	17999	NaN	100	1.595933475	0.102777025	0.024233128	0.061907477	0.001494358	131.382951	1.71E-08	NaN	-0.00620846	0.000592293	0.062027746	2.31281E-06	NaN	276.7804844	14.80349082	424.1201915	6.447449166	-0.423440039	105.7754637	92243.96576	74.78957307	5.93	52.37441	232.4153	297.6596	754.3329333	104.46198	NaN	0.025330557	0.050144447	447.6159333	277.9099	274.9013073	267.9358323	268.751389	228.8631233	228.93139	268.1779957	268.7544437	269.1792543	268.1483413	268.431319	268.8042637	269.4241667	268.818612	23
DATA	2016-03-23T170000_AIU-0383.ghg	2016-03-23	17:30:00	83.729	1	17946	17946	0.00211217	2	NaN	-13.66125305	1	NaN	16.78194299	1	NaN	0.304312881	1	NaN	0.360930539	1	NaN	0.005807795	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-6.85E-11	-4.14E-15	-3.54E-13	NaN	17.0553322	367.4586249	369.5418134	-0.3	0	1.029931496	0.022189964	0.022190457	-0.3	0	0.087980505	1.65170371	1.661067513	-0.3	0	NaN	NaN	NaN	NaN	9	272.2420184	239.3409	92358.88418	1.344360341	1005.045743	0.021545088	0.023388299	1.85594E-05	2.049990076	35.22319718	1.38054E-05	5.82	33.1732071	213.9827199	-0.58733162	-2.968825145	0.003397952	3.026366257	5.34E-15	-4.02E-15	3.026366257	4.592158739	101.190499	258.809501	0.064330725	NaN	0.039637534	0.145633207	0.374945402	9.201339666	-0.814044778	-0.25508351	1	1450.58261	635	1390	2985	5867	NaN	NaN	0.001886555	1.119591461	-10.89939053	1.211779115	6.922939528	2.424344959	0.367999734	2.424344959	0.148892193	2.424344959	0.002815351	3.48728571	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800000009	899999999	899999999	89999	89999	89	89	11	5	4	8	10	5	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	0	0	0	0	17692	0	0	0	17946	17946	17946	17946	NaN	100	0.171393016	0.104392549	0.015480849	0.071561602	0.000932131	86.32856097	2.38E-08	NaN	-0.008066789	0.000368	0.148892193	2.81535E-06	NaN	276.4849624	14.79337123	419.1132696	6.429291412	-0.457018145	105.5940576	92238.07242	74.54627429	5.82	54.00921333	231.8070667	294.4586	660.8292	91.48570667	NaN	0.02553055	0.050524993	393.4781667	239.3409	274.2292547	267.940407	268.76	228.86865	228.93839	268.1804597	268.7552277	269.18072	268.157385	268.4346403	268.806208	269.425849	268.838889	43
DATA	2016-03-23T173000_AIU-0383.ghg	2016-03-23	18:00:00	83.749	1	18000	18000	0.012857198	0	NaN	-10.2880927	0	NaN	2.643190773	1	NaN	0.252108756	0	NaN	0.058602441	1	NaN	-0.000101865	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.56E-11	-1.26E-14	-8.07E-14	NaN	17.08421234	418.1965155	420.8377291	-0.3	0	13.77266177	0.337134604	0.337248302	-0.3	0	0.088372862	1.932625308	1.944831235	-0.3	0	NaN	NaN	NaN	NaN	9	271.9478281	271.9478281	92365.58086	1.183114514	1005.321884	0.024478537	0.003797438	0.000248183	31.14798639	558.2076415	0.000209771	5.58	527.0596551	238.1371336	0.232690689	-3.078899655	0.011515986	3.087701518	-7.48E-14	-9.13E-16	3.087701518	4.47169435	85.67803459	274.3219654	0.213692591	NaN	0.104246091	0.18003433	9.058852865	0.380842923	-3.892300474	-0.082974219	1	121.892207	54	121	270	553	1366	7877	0.012677384	1.01418382	-9.873585027	1.029194059	2.2211661	1.198495568	0.643296244	1.198495568	0.04924569	1.198495568	0.002466931	1.330248606	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800001009	899999999	899999999	89999	89999	89	89	14	4	4	66	41	6	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	0	0	0	0	18000	0	0	0	18000	18000	18000	18000	NaN	100	0.17302999	0.16649418	0.020544489	0.063643848	0.000919717	26.39270407	3.85E-08	NaN	-0.00830124	0.000643296	0.04924569	2.46693E-06	NaN	276.245897	14.79496024	419.35035	6.293543775	-0.743763791	105.3958211	92242.24574	74.33616557	5.58	53.70278	231.0837333	291.723	557.4647333	72.9425	NaN	0.025386107	0.050269457	333.4915667	199.9098	273.7878778	267.9458803	268.76	228.87467	228.9449267	268.183107	268.756112	269.1811477	268.1675483	268.438927	268.8080817	269.42709	268.8680547	131
DATA	2016-03-23T180000_AIU-0383.ghg	2016-03-23	18:30:00	83.77	1	18000	18000	0.007056301	1	NaN	2.888305457	2	NaN	3.290002158	1	NaN	-0.346817453	1	NaN	0.072904197	1	NaN	0.000327494	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-9.24E-11	-6.62E-14	-4.78E-13	NaN	17.14763652	418.8233019	421.3607335	0.5	0	12.28558823	0.300069961	0.30016003	-0.3	0	0.088735796	1.935428595	1.947154346	0.6	0	NaN	NaN	NaN	NaN	9	271.3863093	271.3863093	92378.60248	1.185746227	1005.294928	0.02442455	0.004724192	0.000221386	27.72747929	535.6241975	0.000186706	5.176666667	507.8967183	236.9738749	-0.140064603	-2.167281315	-0.00350998	2.171805404	-1.49E-13	-5.39E-15	2.171805404	3.041179733	93.69770451	266.3022955	-0.092599054	NaN	0.077142313	0.153799431	-13.07680814	-0.263825848	0.877903818	0.031409803	1	92.81544134	41	73	123	187	303	704	0.006996068	1.008609445	3.025993311	1.011944671	3.086611796	1.063970758	-0.498563302	1.063970758	0.068397206	1.063970758	-0.000776865	1.114137459	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800010109	899999999	899999999	89999	89999	89	89	6	8	1	21	28	34	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	0	0	0	0	18000	0	0	0	18000	18000	18000	18000	NaN	100	0.078364301	0.221029109	0.008205453	0.138875393	0.002711821	105.3320417	2.18E-08	NaN	0.002538532	-0.000498563	0.068397206	-7.77E-07	NaN	275.3979969	14.7950579	417.2684993	6.000381622	-1.401869614	105.575844	92254.42241	74.27647976	5.176666667	53.76807333	230.0504	282.5753	417.4297	52.20396667	NaN	0.025297223	0.050427783	256.6986333	151.9697333	273.2742563	267.9520197	268.7602777	228.8696367	228.9379033	268.1862923	268.7571503	269.1821557	268.1786003	268.443861	268.8104673	269.428845	268.8674997	108
DATA	2016-03-23T183000_AIU-0383.ghg	2016-03-23	19:00:00	83.791	1	18000	18000	0.001365721	2	NaN	-1.324815006	2	NaN	5.186255428	1	NaN	-0.519125073	1	NaN	0.114873387	1	NaN	-0.000298377	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.30E-12	4.55E-15	4.29E-14	NaN	17.17956748	418.830386	421.3266781	0	1	9.426049933	0.229802999	0.229855821	-0.2	0	0.08882146	1.933023177	1.944544286	0	1	NaN	NaN	NaN	NaN	9	270.9219167	270.9219167	92390.68843	1.187965703	1005.25172	0.024379565	0.007443795	0.000169857	21.23735247	517.5634232	0.000142982	4.103333333	496.3260708	234.3562015	0.077302973	-1.886569104	-0.007921452	1.888168817	4.48E-14	4.83E-16	1.888168817	2.795043003	87.65359363	272.3464064	-0.240374204	NaN	0.033906199	0.087089183	2.420931041	1.42507157	-0.255447312	-0.032718803	1	475.1761026	211	485	1116	2370	6179	NaN	0.001332149	1.02520188	-1.042643447	1.050895034	3.933864968	1.318501277	-0.376867031	1.318501277	0.087133462	1.318501277	-0.00014368	1.595235451	NaN	NaN	800000009	800000009	800000009	800000009	800000009	810010019	899999999	899999999	89999	89999	89	89	4	2	3	45	6	1	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	0	0	0	0	11702	0	0	0	18000	18000	18000	18000	NaN	100	0.077287607	0.092541263	0.004349496	0.112345088	0.002298059	114.1395291	2.20E-08	NaN	-0.000873086	-0.000376867	0.087133462	-1.44E-07	NaN	274.3160129	14.79122949	415.1160708	5.872704862	-1.693213679	105.6885927	92264.68951	74.01269155	4.103333333	56.30954	228.2816	271.8312333	270.8672	28.60244787	NaN	0.025366667	0.050877773	172.7989333	100.6467667	272.2787078	267.9595707	268.7602777	228.8666267	228.9379133	268.1905173	268.7587307	269.1832033	268.1908593	268.4498453	268.8126393	269.4305757	268.873888	149
DATA	2016-03-23T190000_AIU-0383.ghg	2016-03-23	19:30:00	83.812	1	18000	18000	0.014574898	2	NaN	1.0196474	2	NaN	-3.888556353	1	NaN	0.233040166	1	NaN	-0.086045604	1	NaN	-0.000123835	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.63E-11	1.23E-14	2.39E-13	NaN	17.26336584	419.1714682	421.6050234	-0.3	0	4.576343092	0.111118102	0.111130451	0	1	0.08901569	1.927772797	1.938964736	-0.7	0	NaN	NaN	NaN	NaN	9	269.886332	269.886332	92411.21313	1.192842518	1005.176092	0.024280982	-0.005575755	8.24657E-05	10.27131307	479.2214497	6.91338E-05	2.143333333	468.9501366	227.5535041	-0.434868235	-1.203645637	-0.011091961	1.279842269	4.70E-14	2.68E-15	1.279842269	2.407227954	109.8644117	250.1355883	-0.496569404	NaN	0.110537899	0.405874888	-109.0032973	-0.031650419	-0.262217468	0.007693316	1	35.10807564	15	29	54	89	162	477	0.01440487	1.011803482	0.803454181	1.013207549	-3.678392483	1.057194376	0.20310215	1.057194376	-0.081395118	1.057194376	-0.000204014	1.111109984	NaN	NaN	800000009	800000009	800000009	800000009	800010019	800111019	899999999	899999999	89999	89999	89	89	8	37	17	20	6	9	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	0	0	0	0	9910	0	0	0	18000	18000	18000	18000	NaN	100	0.789320942	0.019372267	0.003056567	0.464517877	0.005115127	102.1261532	7.88E-08	NaN	0.000670094	0.000203102	-0.081395118	-2.04E-07	NaN	272.2538201	14.79459454	412.3557875	5.678182351	-2.1446069	105.6057057	92282.68101	73.6132392	2.143333333	59.45045333	226.4064667	262.8440333	155.6633	12.0274283	NaN	0.025291667	0.050725013	108.7031367	60.23814333	271.030915	267.9674867	268.771942	228.8781767	228.9484167	268.1954873	268.7606353	269.184121	268.204119	268.4562937	268.8155667	269.4326767	268.881667	24
DATA	2016-03-23T193000_AIU-0383.ghg	2016-03-23	20:00:00	83.833	1	18000	18000	0.002505965	2	NaN	-1.693652256	0	NaN	-2.554933947	1	NaN	0.072153295	1	NaN	-0.056558841	1	NaN	-0.00024857	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.82E-11	3.34E-17	4.03E-13	NaN	17.19366248	418.062458	420.5804105	0	1	0.00734229	0.000178527	0.000178527	0	1	0.088723248	1.925272203	1.936867944	-0.5	0	NaN	NaN	NaN	NaN	9	270.3261206	270.3261206	92432.6192	1.191227736	1005.122427	0.024314916	-0.003665013	1.32E-07	0.016506161	495.1848226	1.11E-07	0.003333333	495.1683165	182.6999424	-0.615708819	-1.066358869	-0.047678506	1.232271004	-8.30E-14	4.55E-15	1.232271004	2.00094693	120.0018633	239.9981367	-2.217417463	NaN	0.045865919	0.120882696	4.688878043	0.735783693	0.662894733	-0.030840427	1	131.5833429	58	131	294	608	1518	8959	0.002460062	1.018659455	-1.748259552	1.037479725	-2.094712554	1.219705181	0.152308453	1.219705181	-0.046370872	1.219705181	0.000334867	1.443986328	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800000109	899999999	899999999	89999	89999	89	89	2	5	6	26	36	7	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	0	0	0	0	16797	0	0	0	18000	18000	18000	18000	NaN	100	0.130479354	0.10752859	0.003757447	0.051540617	0.000594483	32.73102337	1.40E-08	NaN	-0.001460132	0.000152308	-0.046370872	3.35E-07	NaN	271.8231156	14.79688011	408.6788303	5.852438943	-1.72458425	105.5470238	92302.68569	73.54490211	0.003333333	60.28508	228.0921333	259.5199667	80.69440333	-5.742821333	NaN	0.025408337	0.05064445	55.42862333	29.74361667	270.900852	267.976959	268.776942	228.88321	228.9589433	268.2006923	268.762357	269.18558	268.218211	268.463467	268.81831	269.4344767	268.887777	183
DATA	2016-03-23T200000_AIU-0383.ghg	2016-03-23	20:30:00	83.854	1	18000	18000	0.001870639	2	NaN	-1.689116126	0	NaN	-0.572618447	0	NaN	0.065962674	0	NaN	-0.012677733	0	NaN	0.000233504	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.37E-11	3.54E-13	1.22E-13	NaN	17.17109938	417.6808656	420.3039864	0.1	0	256.571435	6.24100861	6.280203414	0	1	0.088595506	1.928812047	1.940925379	0.7	0	NaN	NaN	NaN	NaN	9	270.4611387	270.4611387	92441.80438	1.187941387	1008.490072	0.024324643	-0.000821517	0.004623417	577.0848525	500.1795105	0.003891957	100	0	272.3762911	-0.20832409	0.155217812	-0.008649167	0.259935191	-1.88E-13	1.38E-15	0.259935191	1.65440728	216.689005	143.310995	-1.906830205	NaN	0.039682358	0.145525256	3.047987584	1.131894375	2.949810882	-0.035530015	1	10.85689137	5	10	21	39	84	364	0.001820844	1.027347097	-1.632469244	1.051321548	-0.406664783	1.250741461	0.128541279	1.250741461	-0.00900353	1.250741461	0.000567662	1.556602226	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800000109	899999999	899999999	89999	89999	89	89	1	1	4	2	11	13	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	0	0	0	0	8108	0	0	0	18000	18000	18000	18000	NaN	100	0.11063946	0.177426253	0.0029848	0.143785222	0.001295256	40.97966599	2.80E-08	NaN	-0.001362631	0.000128541	-0.00900353	5.68E-07	NaN	271.4016542	14.79574619	403.7367384	6.032484028	-1.311408749	105.6114396	92310.99456	73.42916949	-2.273333333	62.27899667	227.6309	255.0172667	26.51716767	-17.04534867	NaN	0.025324997	0.050716667	17.46406293	7.123030003	271.041952	267.9874013	268.790556	228.8887367	228.95044	268.2070333	268.764328	269.1865117	268.23302	268.470875	268.821511	269.4365017	268.9027773	68
DATA	2016-03-23T203000_AIU-0383.ghg	2016-03-23	21:00:00	83.874	1	18000	18000	0.006249598	1	NaN	4.275003962	1	NaN	2.658750744	1	NaN	-0.026577789	1	NaN	0.058774182	1	NaN	4.26073E-05	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.43E-11	2.10E-13	7.36E-14	NaN	17.27042919	418.3325938	420.9256188	0	1	254.3213157	6.160292514	6.198476945	0	1	0.089118003	1.929202934	1.941161054	0	1	NaN	NaN	NaN	NaN	9	269.3605353	268.8348751	92453.9379	1.195331078	1008.416595	0.024222478	0.003808567	0.00458287	568.5821279	442.859287	0.003833976	100	0	272.1734217	0.031123704	0.136465446	-0.010594491	0.140370033	9.93E-16	8.25E-16	0.140370033	0.874376306	282.8477072	77.15229283	-4.32854068	NaN	0.072307264	0.03431595	-7.286442525	-0.473482085	1.607899489	0.049048575	1	1.425933766	1	1	2	3	5	13	0.005858934	1.066678235	4.208619566	1.049211932	2.28148473	1.091669519	-0.25553456	1.091669519	0.050434362	1.091669519	-0.001391859	1.15727417	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800100109	899999999	899999999	89999	89999	89	89	14	7	0	6	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18000	18000	18000	18000	NaN	100	0.030908017	0.03563036	0.002093523	0.115243269	0.000958242	26.02365872	3.23E-08	NaN	0.003491495	-0.000255535	0.050434362	-1.39186E-06	NaN	269.0052683	14.79387793	403.2369783	5.938042638	-1.523556664	105.6566694	92322.01216	73.20519696	-4.73	69.19874667	225.9848667	249.8374	3.070702767	-26.2249	NaN	0.02525	0.050961117	-5.717766333	-3.3453456	269.3671697	267.9984397	268.815555	228.88221	228.9519367	268.2136443	268.7664313	269.1877967	268.2482597	268.4787967	268.8246687	269.43873	268.903333	178
